Series Name,Series Code,Country Name,Country Code,2015 [YR2015]
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Switzerland,CHE,1.54
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Syrian Arab Republic,SYR,3.049
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Tajikistan,TJK,3.459
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Tanzania,TZA,5.088
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Thailand,THA,1.469
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Timor-Leste,TLS,3.903
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Togo,TGO,4.594
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Tonga,TON,3.562
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Trinidad and Tobago,TTO,1.682
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Tunisia,TUN,2.251
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Turkiye,TUR,2.194
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Turkmenistan,TKM,2.93
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Turks and Caicos Islands,TCA,1.67
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Tuvalu,TUV,3.217
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Uganda,UGA,5.306
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Ukraine,UKR,1.506
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,United Arab Emirates,ARE,1.486
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,United Kingdom,GBR,1.8
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,United States,USA,1.8435
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Uruguay,URY,2.023
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Uzbekistan,UZB,2.491
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Vanuatu,VUT,4.006
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Venezuela, RB",VEN,2.34
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Viet Nam,VNM,1.951
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Virgin Islands (U.S.),VIR,2.11
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,West Bank and Gaza,PSE,4.046
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Yemen, Rep.",YEM,4.322
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Zambia,ZMB,4.793
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Zimbabwe,ZWE,3.849
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Eastern and Southern,AFE,4.677617736
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Africa Western and Central,AFW,5.385059308
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Arab World,ARB,3.471038097
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Caribbean small states,CSS,2.1386125
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Central Europe and the Baltics,CEB,1.462299899
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Early-demographic dividend,EAR,2.589374388
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,East Asia & Pacific,EAS,1.830031815
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,East Asia & Pacific (excluding high income),EAP,1.874160654
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,East Asia & Pacific (IDA & IBRD countries),TEA,1.874049946
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Euro area,EMU,1.548176125
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Europe & Central Asia,ECS,1.775057716
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Europe & Central Asia (excluding high income),ECA,2.156279024
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Europe & Central Asia (IDA & IBRD countries),TEC,1.934959176
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,European Union,EUU,1.537301584
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Fragile and conflict affected situations,FCS,4.642228206
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Heavily indebted poor countries (HIPC),HPC,5.032747102
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,High income,HIC,1.681577784
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,IBRD only,IBD,2.100222943
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,IDA & IBRD total,IBT,2.608548663
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,IDA blend,IDB,4.392794726
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,IDA only,IDX,4.121113595
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,IDA total,IDA,4.210470687
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Late-demographic dividend,LTE,1.740036306
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Latin America & Caribbean,LCN,2.070373155
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Latin America & Caribbean (excluding high income),LAC,2.068323946
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Latin America & the Caribbean (IDA & IBRD countries),TLA,2.080942648
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Least developed countries: UN classification,LDC,4.270607982
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Low & middle income,LMY,2.640931188
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Low income,LIC,5.022393521
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Lower middle income,LMC,2.907190344
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Middle East & North Africa,MEA,2.951748932
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Middle East & North Africa (excluding high income),MNA,3.018249558
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Middle East & North Africa (IDA & IBRD countries),TMN,3.007089186
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Middle income,MIC,2.410740554
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,North America,NAC,1.81917836
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Not classified,INX,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,OECD members,OED,1.746111807
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Other small states,OSS,2.333794412
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Pacific island small states,PSS,3.460993439
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Post-demographic dividend,PST,1.6335168
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Pre-demographic dividend,PRE,5.28357766
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Small states,SST,2.44810491
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,South Asia,SAS,2.498365925
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,South Asia (IDA & IBRD),TSA,2.498365925
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sub-Saharan Africa,SSF,4.956917064
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sub-Saharan Africa (excluding high income),SSA,4.957176101
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sub-Saharan Africa (IDA & IBRD countries),TSS,4.956917064
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Upper middle income,UMC,1.918682487
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,World,WLD,2.47787863
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Afghanistan,AFG,209.573
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Albania,ALB,46.822
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Algeria,DZA,73.471
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,American Samoa,ASM,..
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Andorra,AND,..
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Angola,AGO,229.953
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Antigua and Barbuda,ATG,71.265
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Argentina,ARG,76.307
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Armenia,ARM,65.825
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Aruba,ABW,62.67
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Australia,AUS,45.231
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Austria,AUT,44.687
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Azerbaijan,AZE,93.653
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,"Bahamas, The",BHS,134.412
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Bahrain,BHR,51.933
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Bangladesh,BGD,112.617
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Barbados,BRB,89.598
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Belarus,BLR,82.36
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Belgium,BEL,53.983
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Belize,BLZ,109.72
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Benin,BEN,249.694
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Bermuda,BMU,45.402
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Bhutan,BTN,128.968
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Bolivia,BOL,150.035
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Bosnia and Herzegovina,BIH,59.726
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Botswana,BWA,237.818
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Brazil,BRA,84.634
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,British Virgin Islands,VGB,58.157
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Brunei Darussalam,BRN,101.14
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Bulgaria,BGR,86.607
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Burkina Faso,BFA,235.259
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Burundi,BDI,255.471
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Cabo Verde,CPV,73.421
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Cambodia,KHM,141.294
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Cameroon,CMR,278.456
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Canada,CAN,50.736
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Cayman Islands,CYM,..
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Central African Republic,CAF,390.195
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Chad,TCD,346.329
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Channel Islands,CHI,38.572
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Chile,CHL,61.873
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,China,CHN,62.27
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Colombia,COL,73.966
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Comoros,COM,201.327
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,"Congo, Dem. Rep.",COD,259.266
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,"Congo, Rep.",COG,269.708
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Costa Rica,CRI,55.466
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Cote d'Ivoire,CIV,351.633
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Croatia,HRV,51.413
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Cuba,CUB,75.194
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Curacao,CUW,61.21
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Cyprus,CYP,44.473
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Czechia,CZE,53.074
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Denmark,DNK,51.397
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Djibouti,DJI,224.184
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Dominica,DMA,129.123
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Dominican Republic,DOM,104.984
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Ecuador,ECU,83.275
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,"Egypt, Arab Rep.",EGY,114.943
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,El Salvador,SLV,116.195
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Equatorial Guinea,GNQ,242.423
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Eritrea,ERI,187.886
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Estonia,EST,62.825
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Eswatini,SWZ,430.729
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Ethiopia,ETH,197.241
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Faroe Islands,FRO,..
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Fiji,FJI,195.036
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Finland,FIN,43.601
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,France,FRA,49.377
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,French Polynesia,PYF,31.523
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Gabon,GAB,199.247
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,"Gambia, The",GMB,242
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Georgia,GEO,73.545
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Germany,DEU,50.173
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Ghana,GHA,225.065
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Gibraltar,GIB,43.634
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Greece,GRC,38.853
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Greenland,GRL,129.465
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Grenada,GRD,97.064
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Guam,GUM,94.424
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Guatemala,GTM,129.843
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Guinea,GIN,261.918
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Guinea-Bissau,GNB,265.828
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Guyana,GUY,176.027
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Haiti,HTI,192.369
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Honduras,HND,110.132
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,"Hong Kong SAR, China",HKG,29.622
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Hungary,HUN,85.926
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Iceland,ISL,43.185
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,India,IND,144.478
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Indonesia,IDN,152.107
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,"Iran, Islamic Rep.",IRN,69.95
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Iraq,IRQ,146.13
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Ireland,IRL,47.709
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Isle of Man,IMN,63.221
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Israel,ISR,39.687
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Italy,ITA,38.612
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Jamaica,JAM,124.717
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Japan,JPN,37.142
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Jordan,JOR,78.452
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Kazakhstan,KAZ,112.349
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Kenya,KEN,306.191
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Kiribati,KIR,177.336
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,"Korea, Dem. People's Rep.",PRK,106.115
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,"Korea, Rep.",KOR,26.316
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Kosovo,XKX,52.37
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Kuwait,KWT,34.744
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Kyrgyz Republic,KGZ,117.865
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Lao PDR,LAO,162.434
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Latvia,LVA,85.92
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Lebanon,LBN,54.409
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Lesotho,LSO,482.662
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Liberia,LBR,278.718
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Libya,LBY,117.077
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Liechtenstein,LIE,..
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Lithuania,LTU,85.048
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Luxembourg,LUX,36.401
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,"Macao SAR, China",MAC,27.943
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Madagascar,MDG,198.543
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Malawi,MWI,286.502
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Malaysia,MYS,81.839
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Maldives,MDV,45.443
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Mali,MLI,243.937
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Malta,MLT,29.26
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Marshall Islands,MHL,255.245
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Mauritania,MRT,173.052
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Mauritius,MUS,80.78
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Mexico,MEX,96.767
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,"Micronesia, Fed. Sts.",FSM,93.232
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Moldova,MDA,119.204
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Monaco,MCO,..
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Mongolia,MNG,128.013
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Montenegro,MNE,71.989
"Mortality rate, adult, female (per 1,000 female adults)",SP.DYN.AMRT.FE,Morocco,MAR,100.723
