0,1
AFG,1
AUS,1
AUT,1
BHR,2
BEL,1
BRA,1
BGR,1
CAN,1
LKA,2
CHL,1
COL,2
CZE,1
DNK,1
ECU,1
EST,2
FIN,1
FRA,1
GEO,2
DEU,1
GRC,2
HUN,1
ISL,2
IND,1
IRQ,2
IRL,1
ITA,1
JOR,2
KWT,2
LBY,1
MYS,2
MLI,1
NAM,2
NLD,1
NZL,1
NIC,2
NOR,1
PHL,2
POL,2
QAT,2
SAU,2
SVN,2
ZAF,1
ESP,1
SWE,1
CHE,1
ARE,2
TUR,1
UKR,2
EGY,1
GBR,1
USA,1
ALB,1
ARG,2
LVA,2
LUX,1
MLT,2
MNE,0
ROU,1
SMR,0
SRB,2
SVK,2
MKD,2
DZA,2
GUF,0
PYF,0
GAB,2
GHA,2
GLP,0
MRT,0
MEX,2
MAR,2
NCL,0
NER,0
PER,2
PRT,1
SEN,2
ESH,0
TUN,2
ASM,0
AND,0
AGO,2
BWA,2
CPV,0
COD,2
ERI,0
MOZ,2
SWZ,0
ZMB,2
AIA,0
ATG,0
DOM,2
CUW,0
SXM,0
BRB,0
VGB,0
DMA,0
JAM,2
MSR,0
KNA,0
VIR,0
BHS,2
BOL,2
CYM,0
CRI,2
SLV,2
FLK,0
GTM,2
HTI,2
HND,2
JPN,2
PAN,2
PRY,2
URY,2
ARM,2
KAZ,2
ABW,0
BTN,0
BRN,0
KHM,2
CAF,0
CHN,2
COK,0
FJI,0
KIR,0
HKG,2
IDN,2
PRK,0
KOR,2
LAO,0
MDV,0
MNG,0
NRU,0
VUT,0
PNG,0
VNM,2
THA,2
TKL,0
IMN,0
LIE,0
LTU,2
AZE,0
TCA,0
BGD,2
OMN,2
MMR,0
MUS,0
NFK,0
SYC,0
GRD,0
GUY,2
VCT,0
TTO,2
BLR,1
BDI,0
BLZ,0
BEN,0
NGA,2
SLE,0
TGO,0
BFA,0
BMU,0
BIH,1
LSO,0
ZWE,2
FRO,0
SUR,0
ETH,2
MWI,0
RWA,2
UGA,2
TZA,0
GNB,0
CMR,2
TCD,0
GNQ,0
SSD,0
SDN,2
GUM,0
MAC,0
MDG,0
MHL,0
PLW,0
PRI,0
COM,0
MYT,0
REU,0
HRV,1
CUB,1
CYP,1
DJI,0
YEM,2
SOM,2
TUV,0
MCO,0
SPM,0
GMB,2
GIB,0
GRL,0
GIN,1
IRN,1
ISR,1
FSM,0
KEN,1
KGZ,0
LBN,1
LBR,0
MTQ,0
NPL,1
NIU,0
PAK,1
MDA,1
RUS,1
LCA,1
WSM,0
STP,0
SGP,1
SLB,0
PSE,1
SYR,1
TJK,0
TLS,0
TON,0
TKM,0
UZB,1
VEN,1
WLF,0
